,Расстояние,Кузов,Время загрузки,Время выгрузки,Цена,Откуда,Куда,Масса,Объем
0,825 км,тент. борт.,3-6 июл,,,"Выкса, Нижегородская область","Верхние Пинячи, Татарстан республика",20,82
1,825 км,тент. борт.,3-6 июл,,,"Выкса, Нижегородская область","Верхние Пинячи, Татарстан республика",20,82
2,905 км,закр.,5-6 июл,7 июл,"6 000 ₽;6,6₽/км",Казань,"Видное, Московская область","0,48",-
3,905 км,закр.,5-6 июл,7 июл,"6 000 ₽;6,6₽/км",Казань,"Видное, Московская область","0,5",-
4,905 км,закр.,5 июл,,"6 000 ₽;6,6₽/км",Казань,"Видное, Московская область","0,5",-
5,904 км,закр.,постоянно по раб.дням,,,Казань,"Видное, Московская область",20,82
6,767 км,3 маш. тент.,1-4 июл,,"65 000 ₽;84,7₽/км",Владивосток,Хабаровск,24,50
7,766 км,откр. негаб.,3-12 июл,,2 000 ₽/тс НДС 2 000 ₽/т с НДС,"Владивосток, Снеговая","Хабаровск, Ухтомского",20,-
8,1415 км,тент.,4 июл,,"75 000 ₽;53,0₽/км","Раздольное, Приморский край",Хабаровск,20,81
9,746 км,закр. реф.,постоянно по раб.дням,,,"Артём, Приморский край",Хабаровск,15,82
10,746 км,реф.,постоянно ежедн.,,,"Артём, Приморский край",Хабаровск,22,82
11,767 км,откр.,5 июл,,,Владивосток,Хабаровск,23,-
12,767 км,борт.,4 июл,,,Владивосток,Хабаровск,24,82
13,767 км,борт.,4 июл,,"40 000 ₽;52,2₽/км",Владивосток,Хабаровск,20,82
14,1146 км,борт.,4 июл,,"75 000 ₽;65,4₽/км",Владивосток,"Комсомольск-на-Амуре, Хабаровский край",20,82
15,671 км,тент. борт. шал.,4-7 июл,,"15 000 ₽;22,4₽/км","Уссурийск, Приморский край",Хабаровск,"1,2",-
16,770 км,закр.,5 июл 17:00,6 июл 8:00-9:00,"20 000 ₽;26,0₽/км","Владивосток, Артём",Хабаровск,1,3
17,1415 км,тент.,4 июл,,,"Раздольное, Приморский край",Хабаровск,20,82
18,709 км,тент.,4 июл,,,"Раздольное, Приморский край",Хабаровск,20,81
19,709 км,тент.,4 июл,,"45 000 ₽;63,5₽/км","Раздольное, Приморский край",Хабаровск,20,81
20,1797 км,безборт.,11 июл,,,Владивосток,"Многовершинный, Хабаровский край",20,-
21,1149 км,тент.,6 июл,,,"Владивосток, Калинина 4Б","Комсомольск-на-Амуре, Хабаровский край",20,92
22,709 км,тент.,4 июл,,,"Раздольное, Приморский край",Хабаровск,20,82
23,709 км,тент.,4 июл,,,"Раздольное, Приморский край",Хабаровск,20,82
24,1419 км,тент.,4 июл,,,"Раздольное, Приморский край",Хабаровск,20,82
25,747 км,реф.,4 июл,,,"Артём, Приморский край, 1 1 1 11 1 1",Хабаровск,20,82
26,746 км,реф.,4 июл,,"65 000 ₽;87,1₽/км","Артём, Приморский край",Хабаровск,18,82
27,767 км,тент.,5-6 июл,,"20 000 ₽;26,1₽/км",Владивосток,Хабаровск,"4,6",10
28,1297 км,рамн. нпл. трал,4 июл,,,"Артём, Приморский край","Советская Гавань, Хабаровский край",25,-
29,766 км,откр. негаб.,3-12 июл,,2 000 ₽/тс НДС 2 000 ₽/т с НДС,"Владивосток, Снеговая","Хабаровск, Ухтомского",20,-
30,1283 км,негаб.,постоянно по раб.дням,,"100 000 ₽;77,9₽/км",Владивосток,"Ванино, Хабаровский край",11,-
31,746 км,реф.,постоянно по раб.дням,,"75 000 ₽;100,5₽/км","Артём, Приморский край",Хабаровск,20,82
32,671 км,тент. борт. шал.,4-7 июл,,"15 000 ₽;22,4₽/км","Уссурийск, Приморский край",Хабаровск,"1,2",-
33,767 км,закр. реф.,5 июл,,"50 000 ₽;65,2₽/км",Владивосток,Хабаровск,20,-
34,767 км,трал,4-8 июл,,,Владивосток,Хабаровск,"17,5",-
35,1096 км,тент.,4-5 июл,,"50 000 ₽;45,6₽/км","Пограничный, Приморский край","Комсомольск-на-Амуре, Хабаровский край",5,-
36,1096 км,тент.,4-5 июл,,"50 000 ₽;45,6₽/км","Пограничный, Приморский край","Комсомольск-на-Амуре, Хабаровский край",5,-
37,1146 км,тент.,4-7 июл,,,Владивосток,"Комсомольск-на-Амуре, Хабаровский край",20,-
38,1271 км,тент. борт.,1-4 июл,,,"Находка, Приморский край","Комсомольск-на-Амуре, Хабаровский край",20,-
39,1051 км,тент. борт.,1-4 июл,,,"Уссурийск, Приморский край","Комсомольск-на-Амуре, Хабаровский край",20,-
40,1662 км,тент.,11 июл,,,"Владивосток, По ттн","Николаевск-на-Амуре, Хабаровский край, по ттн",20,92
41,1184 км,трал,1-4 июл,,,Владивосток,"Солнечный, Хабаровский край",20,-
42,1051 км,тент. борт.,1-4 июл,,,"Уссурийск, Приморский край","Комсомольск-на-Амуре, Хабаровский край",20,-
43,1797 км,безборт.,11 июл,,,Владивосток,"Многовершинный, Хабаровский край",20,-
44,746 км,реф.,1-5 июл,,"57 000 ₽;76,4₽/км","Артём, Приморский край",Хабаровск,20,-
45,1625 км,тент. откр.,4-6 июл,,,"Стерлитамак, Башкортостан республика","Протвино, Московская область",15,82
