;Субъект;Центр
0;Адыгея республика, РФ;Майкоп
1;Алтай республика, РФ;Горно-Алтайск
2;Башкортостан республика, РФ;Уфа
3;Бурятия республика, РФ;Улан-Удэ
4;Дагестан республика, РФ;Махачкала
5;Ингушетия республика, РФ;Магас
6;Кабардино-Балкария республика, РФ;Нальчик
7;Калмыкия республика, РФ;Элиста
8;Карачаево-Черкесская Республик, РФ;Черкесск
9;Карелия республика, РФ;Петрозаводск
10;Коми республика, РФ;Сыктывкар
11;Крым республика, РФ;Симферополь
12;Марий Эл республика, РФ;Йошкар-Ола
13;Мордовия республика, РФ;Саранск
14;Саха (Якутия) республика, РФ;Якутск
15;Респ. Северная Осетия (Алания), РФ;Владикавказ
16;Татарстан республика, РФ;Казань
17;Тыва республика, РФ;Кызыл
18;Удмуртская Республика, РФ;Ижевск
19;Хакасия республика, РФ;Абакан
20;Чеченская Республика, РФ;Грозный
21;Чувашия республика, РФ;Чебоксары
22;Алтайский край, РФ;Барнаул
23;Забайкальский край, РФ;Чита
24;Камчатский край, РФ;Петропавловск-Камчатский
25;Краснодарский край, РФ;Краснодар
26;Красноярский край, РФ;Красноярск
27;Пермский край, РФ;Пермь
28;Приморский край, РФ;Владивосток
29;Ставропольский край, РФ;Ставрополь
30;Хабаровский край, РФ;Хабаровск
31;Амурская обл., РФ;Благовещенск
32;Архангельская обл., РФ;Архангельск
33;Астраханская обл., РФ;Астрахань
34;Белгородская обл., РФ;Белгород
35;Брянская обл., РФ;Брянск
36;Владимирская обл., РФ;Владимир
37;Волгоградская обл., РФ;Волгоград
38;Вологодская обл., РФ;Вологда
39;Воронежская обл., РФ;Воронеж
40;Ивановская обл., РФ;Иваново
41;Иркутская обл., РФ;Иркутск
42;Калининградская обл., РФ;Калининград
43;Калужская обл., РФ;Калуга
44;Кемеровская обл., РФ;Кемерово
45;Кировская обл., РФ;Киров
46;Костромская обл., РФ;Кострома
47;Курганская обл., РФ;Курган
48;Курская обл., РФ;Курск
49;Ленинградская обл., РФ;Санкт-Петербург[7], Гатчина
50;Липецкая обл., РФ;Липецк
51;Магаданская обл., РФ;Магадан
52;Московская обл., РФ;Москва[8], правительство в Красногорске
53;Мурманская обл., РФ;Мурманск
54;Нижегородская обл., РФ;Нижний Новгород
55;Новгородская обл., РФ;Великий Новгород
56;Новосибирская обл., РФ;Новосибирск
57;Омская обл., РФ;Омск
58;Оренбургская обл., РФ;Оренбург
59;Орловская обл., РФ;Орёл
60;Пензенская обл., РФ;Пенза
61;Псковская обл., РФ;Псков
62;Ростовская обл., РФ;Ростов-на-Дону
63;Рязанская обл., РФ;Рязань
64;Самарская обл., РФ;Самара
65;Саратовская обл., РФ;Саратов
66;Сахалинская обл., РФ;Южно-Сахалинск
67;Свердловская обл., РФ;Екатеринбург
68;Смоленская обл., РФ;Смоленск
69;Тамбовская обл., РФ;Тамбов
70;Тверская обл., РФ;Тверь
71;Томская обл., РФ;Томск
72;Тульская обл., РФ;Тула
73;Тюменская обл., РФ;Тюмень
74;Ульяновская обл., РФ;Ульяновск
75;Челябинская обл., РФ;Челябинск
76;Ярославская обл., РФ;Ярославль
77;Москва, РФ;Москва
78;Санкт-Петербург, РФ;Санкт-Петербург
79;Севастополь, РФ;Севастополь
80;Еврейская авт. обл., РФ;Биробиджан
81;Ненецкий авт.о., РФ;Нарьян-Мар
82;Ханты-Манс. авт. окр., РФ;Ханты-Мансийск
83;Чукотский авт. окр., РФ;Анадырь
84;Ямало-Ненец. авт. окр., РФ;Салехард
